,Encoder,Decoder
21," <masked_token> depression symptoms may include  Depressed <masked_token> or severe <masked_token> swings  Crying <masked_token> much  Difficulty bonding with your baby  Withdrawing from family and friends  Loss of appetite or eating much more than usual  Inability to sleep, called insomnia, or sleeping <masked_token> much  Overwhelming tiredness or loss of energy  Less interest and pleasure in activities you used <masked_token> enjoy  Intense irritability and anger  Fear <masked_token> you're not a <masked_token> mother  <masked_token>  Feelings of worthlessness, shame, guilt or inadequacy <masked_token> Reduced ability <masked_token> think clearly, <masked_token> or make decisions  Restlessness  Severe anxiety and panic attacks  Thoughts of harming yourself or your baby  Recurring thoughts of death or suicide Untreated, postpartum <masked_token> may last for many months or longer. ",<masked_token> Postpartum <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> mood <masked_token> <masked_token> mood <masked_token> <masked_token> <masked_token> too <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> too <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> to <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> that <masked_token> <masked_token> <masked_token> good <masked_token> <masked_token> Hopelessness <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token>  <masked_token> <masked_token> to <masked_token> <masked_token> concentrate <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> depression <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token>
22, With postpartum psychosis  a rare condition that usually develops <masked_token> the first week after delivery  the symptoms are severe. Symptoms may include <masked_token> <masked_token> confused and lost  Having obsessive thoughts about your baby  Hallucinating and having delusions Having sleep problems  Having too much <masked_token> and feeling upset  Feeling <masked_token>  Making attempts to harm yourself or your <masked_token> Postpartum <masked_token> may lead to life threatening thoughts or behaviors and requires immediate <masked_token> ,<masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> within <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token>  Feeling <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> energy <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> paranoid <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> baby <masked_token> psychosis <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> treatment. <masked_token>
23," Studies show that <masked_token> fathers <masked_token> experience postpartum depression, too. They may feel sad, tired, overwhelmed, anxious, or have changes in their <masked_token> eating and sleeping patterns. These are the same symptoms that mothers with postpartum <masked_token> experience. ",<masked_token> <masked_token> <masked_token> <masked_token> new <masked_token> can <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> usual <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> depression <masked_token> <masked_token>
24," Fathers who are young, have a history of depression, experience relationship problems or are struggling financially are most at risk of postpartum depression. Postpartum depression in <masked_token>  sometimes called paternal postpartum depression  can <masked_token> the same negative effect on partner relationships <masked_token> child development as postpartum depression <masked_token> mothers can. ",<masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> fathers <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> have <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> and <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> in <masked_token> <masked_token> <masked_token>
25," If you're a partner of a new mother and <masked_token> having symptoms of depression <masked_token> anxiety during your partner's <masked_token> or after your child's birth, talk to your health care provider. Similar <masked_token> and supports provided to mothers with postpartum depression can help treat ",<masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> are <masked_token> <masked_token> <masked_token> <masked_token> or <masked_token> <masked_token> <masked_token> <masked_token> pregnancy <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> treatments <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token>
26, <masked_token> important to call your provider as soon as possible if the symptoms of depression have any of these features  Don't fade after two weeks.  Are <masked_token> worse.  Make it hard for you to care for <masked_token> baby.  Make it hard to complete <masked_token> tasks. <masked_token> <masked_token> thoughts of harming yourself or your baby. ,<masked_token> It's <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> getting <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> your <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> everyday <masked_token>  Include <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token>
27," Any new mom can experience postpartum depression and it can develop after the birth of any child, not just the first. However, your risk increases if  You have a history of depression, either during pregnancy or at other times.  You have bipolar disorder. You had postpartum depression after <masked_token> previous pregnancy. <masked_token> You have family members who've had depression or other mood disorders.  You've experienced stressful events during the past year, such as pregnancy complications, illness or job loss.  <masked_token> baby has health problems or other <masked_token> needs.  You have twins, <masked_token> <masked_token> other multiple births. <masked_token> You have difficulty <masked_token>  You're having problems in your relationship with your spouse or partner.  You have a weak support <masked_token> <masked_token> You have financial problems.  The pregnancy was <masked_token> or <masked_token> ",<masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> a <masked_token> <masked_token>  <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> Your <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> special <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> triplets or <masked_token> <masked_token> <masked_token>  <masked_token> <masked_token> <masked_token> breastfeeding. <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> system.  <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> unplanned <masked_token> unwanted. <masked_token>
28, Postpartum depression is a type of <masked_token> that happens after having <masked_token> baby. It affects up to  ,<masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> depression <masked_token> <masked_token> <masked_token> <masked_token> a <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token>
29," of <masked_token> People with postpartum depression experience emotional highs and lows, frequent crying, fatigue, guilt, anxiety and <masked_token> have <masked_token> caring for their baby. Postpartum depression can be treated with medication and counseling. ",<masked_token> <masked_token> people. <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> may <masked_token> trouble <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token>
30, ,<masked_token> <masked_token>
31," Having a baby is a life <masked_token> <masked_token> Being a parent is exciting but can also be tiring and overwhelming. It's normal to have feelings of worry or doubt, especially if you are a first time parent. However, if your feelings include extreme sadness or loneliness, severe mood swings and frequent crying spells, you may have postpartum depression. <masked_token> <masked_token> PPD <masked_token> a type of depression that happens <masked_token> someone gives birth. Postpartum depression <masked_token> just affect <masked_token> birthing person. It can affect surrogates and adoptive parents, too. People <masked_token> hormonal, physical, emotional, financial and social changes after having a baby. These changes can cause symptoms of postpartum depression. <masked_token>",<masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> changing experience. <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> Postpartum depression <masked_token> is <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> after <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> doesn't <masked_token> <masked_token> the <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> experience <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> 
32, Postpartum blues or baby blues The baby blues <masked_token> between  ,<masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> affect <masked_token> <masked_token> <masked_token>
33, and  ,<masked_token> <masked_token> <masked_token> <masked_token>
34," of people after delivery. If you're experiencing the baby blues, you will have frequent, prolonged bouts <masked_token> crying for no apparent reason, sadness and anxiety. <masked_token> condition usually begins in the first week one to four days after delivery. Although the experience is unpleasant, the condition usually subsides within two weeks without treatment. <masked_token> best thing you <masked_token> do is find support and <masked_token> for help from friends, <masked_token> or your partner. Postpartum depressionPostpartum depression is a far more serious <masked_token> than the baby blues, affecting about  in  new parents. <masked_token> you've <masked_token> postpartum depression before, your risk increases to  ",<masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> of <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> The <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> The <masked_token> <masked_token> <masked_token> can <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> ask <masked_token> <masked_token> <masked_token> <masked_token> family <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> condition <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> If <masked_token> had <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token> <masked_token>
